Ids,Character,Decimal,Character,Hex
=A147+1,ዖ,4822,ዖ,12D6
=A148+1,ዘ,4824,ዘ,12D8
=A149+1,ዙ,4825,ዙ,12D9
=A150+1,ዚ,4826,ዚ,12DA
=A151+1,ዛ,4827,ዛ,12DB
=A152+1,ዜ,4828,ዜ,12DC
=A153+1,ዝ,4829,ዝ,12DD
=A154+1,ዞ,4830,ዞ,12DE
=A155+1,ዠ,4832,ዠ,12E0
=A156+1,ዡ,4833,ዡ,12E1
=A157+1,ዢ,4834,ዢ,12E2
=A158+1,ዣ,4835,ዣ,12E3
=A159+1,ዤ,4836,ዤ,12E4
=A160+1,ዥ,4837,ዥ,12E5
=A161+1,ዦ,4838,ዦ,12E6
=A162+1,የ,4840,የ,12E8
=A163+1,ዩ,4841,ዩ,12E9
=A164+1,ዪ,4842,ዪ,12EA
=A165+1,ያ,4843,ያ,12EB
=A166+1,ዬ,4844,ዬ,12EC
=A167+1,ይ,4845,ይ,12ED
=A168+1,ዮ,4846,ዮ,12EE
=A169+1,ደ,4848,ደ,12F0
=A170+1,ዱ,4849,ዱ,12F1
=A171+1,ዲ,4850,ዲ,12F2
=A172+1,ዳ,4851,ዳ,12F3
=A173+1,ዴ,4852,ዴ,12F4
=A174+1,ድ,4853,ድ,12F5
=A175+1,ዶ,4854,ዶ,12F6
=A176+1,ጀ,4864,ጀ,1300
=A177+1,ጁ,4865,ጁ,1301
=A178+1,ጂ,4866,ጂ,1302
=A179+1,ጃ,4867,ጃ,1303
=A180+1,ጄ,4868,ጄ,1304
=A181+1,ጅ,4869,ጅ,1305
=A182+1,ጆ,4870,ጆ,1306
=A183+1,ገ,4872,ገ,1308
=A184+1,ጉ,4873,ጉ,1309
=A185+1,ጊ,4874,ጊ,130A
=A186+1,ጋ,4875,ጋ,130B
=A187+1,ጌ,4876,ጌ,130C
=A188+1,ግ,4877,ግ,130D
=A189+1,ጎ,4878,ጎ,130E
=A190+1,ጠ,4896,ጠ,1320
=A191+1,ጡ,4897,ጡ,1321
=A192+1,ጢ,4898,ጢ,1322
=A193+1,ጣ,4899,ጣ,1323
=A194+1,ጤ,4900,ጤ,1324
=A195+1,ጥ,4901,ጥ,1325
=A196+1,ጦ,4902,ጦ,1326
=A197+1,ጨ,4904,ጨ,1328
=A198+1,ጩ,4905,ጩ,1329
=A199+1,ጪ,4906,ጪ,132A
=A200+1,ጫ,4907,ጫ,132B
=A201+1,ጬ,4908,ጬ,132C
=A202+1,ጭ,4909,ጭ,132D
=A203+1,ጮ,4910,ጮ,132E
=A204+1,ጰ,4912,ጰ,1330
=A205+1,ጱ,4913,ጱ,1331
=A206+1,ጲ,4914,ጲ,1332
=A207+1,ጳ,4915,ጳ,1333
=A208+1,ጴ,4916,ጴ,1334
=A209+1,ጵ,4917,ጵ,1335
=A210+1,ጶ,4918,ጶ,1336
=A211+1,ጸ,4920,ጸ,1338
=A212+1,ጹ,4921,ጹ,1339
=A213+1,ጺ,4922,ጺ,133A
=A214+1,ጻ,4923,ጻ,133B
=A215+1,ጼ,4924,ጼ,133C
=A216+1,ጽ,4925,ጽ,133D
=A217+1,ጾ,4926,ጾ,133E
=A218+1,ፀ,4928,ፀ,1340
=A219+1,ፁ,4929,ፁ,1341
=A220+1,ፂ,4930,ፂ,1342
=A221+1,ፃ,4931,ፃ,1343
=A222+1,ፄ,4932,ፄ,1344
=A223+1,ፅ,4933,ፅ,1345
=A224+1,ፆ,4934,ፆ,1346
=A225+1,ፈ,4936,ፈ,1348
=A226+1,ፉ,4937,ፉ,1349
=A227+1,ፊ,4938,ፊ,134A
=A228+1,ፋ,4939,ፋ,134B
=A229+1,ፌ,4940,ፌ,134C
=A230+1,ፍ,4941,ፍ,134D
=A231+1,ፎ,4942,ፎ,134E
=A232+1,ፐ,4944,ፐ,1350
=A233+1,ፑ,4945,ፑ,1351
=A234+1,ፒ,4946,ፒ,1352
=A235+1,ፓ,4947,ፓ,1353
=A236+1,ፔ,4948,ፔ,1354
=A237+1,ፕ,4949,ፕ,1355
=A238+1,ፖ,4950,ፖ,1356
